epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5,0.5762500166893005,9.999999747378752e-06,0.8740410804748535,0.5,0.550000011920929,0.5,0.4050000011920929,0.720144510269165,0.0,0.0
0,0.42500001192092896,0.4737499952316284,9.999999747378752e-06,1.0350226163864136,0.4285714328289032,0.44999998807907104,0.6499999761581421,0.7099999785423279,0.6715424656867981,0.6363636255264282,0.699999988079071
0,0.9117664098739624,0.9757038950920105,9.999999747378752e-06,0.20399270951747894,0.9006630182266235,0.9245587587356567,0.9836636185646057,0.9985973238945007,0.04171689227223396,0.9795060157775879,0.9883350729942322
1,0.9426309466362,0.9883288145065308,9.999999747378752e-06,0.13796058297157288,0.9402403831481934,0.9450005888938904,0.9868773221969604,0.9991094470024109,0.03334222733974457,0.9857594966888428,0.9883659482002258
2,0.9551947712898254,0.9922509789466858,9.999999747378752e-06,0.11220993101596832,0.9515463709831238,0.9586843848228455,0.9895554184913635,0.9993089437484741,0.027254929766058922,0.9887940287590027,0.9903794527053833
3,0.9573748111724854,0.9928744435310364,9.999999747378752e-06,0.10617539286613464,0.9550355672836304,0.9595482349395752,0.9906266927719116,0.9993849992752075,0.02594250813126564,0.9889298677444458,0.9925925731658936
4,0.962136447429657,0.9942776560783386,9.999999747378752e-06,0.09412996470928192,0.9618399739265442,0.9620618224143982,0.9908944964408875,0.999445378780365,0.022853737697005272,0.9904153347015381,0.9914712309837341
5,0.9685617685317993,0.995297372341156,9.999999747378752e-06,0.0832873061299324,0.968999445438385,0.9676562547683716,0.9914301037788391,0.999474048614502,0.022113973274827003,0.9892415404319763,0.9935170412063599
6,0.9690780639648438,0.9955502152442932,9.999999747378752e-06,0.08050854504108429,0.9666590094566345,0.9714450240135193,0.9916979074478149,0.9992021918296814,0.02420826628804207,0.9899842143058777,0.9936507940292358
7,0.9724628329277039,0.995943546295166,9.999999747378752e-06,0.0741613432765007,0.972206175327301,0.9724305272102356,0.9919657111167908,0.9991896152496338,0.023576758801937103,0.9915922284126282,0.9926354289054871
8,0.9728644490242004,0.9959850907325745,9.999999747378752e-06,0.07342705875635147,0.9714778661727905,0.9740544557571411,0.9935725927352905,0.9995517134666443,0.01844589039683342,0.992517352104187,0.9946438074111938
9,0.9774539470672607,0.9974859356880188,9.999999747378752e-06,0.05981937050819397,0.9779471158981323,0.9767066240310669,0.9951794147491455,0.9995837211608887,0.01702224835753441,0.9930444359779358,0.9973132610321045
