epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4749999940395355,0.4248120188713074,0.0010000000474974513,0.9769150018692017,0.4583333432674408,0.5789473652839661,0.5,0.32499998807907104,0.7284124493598938,0.0,0.0
1,0.4000000059604645,0.4060150384902954,0.0010000000474974513,0.9501920938491821,0.43478259444236755,0.4761904776096344,0.4000000059604645,0.5572916269302368,0.7923444509506226,0.0,0.0
0,0.550000011920929,0.6002506017684937,0.0010000000474974513,0.7529736757278442,0.5263158082962036,0.5263158082962036,0.5,0.36000001430511475,0.7326998710632324,0.0,0.0
1,0.550000011920929,0.5588972568511963,0.0010000000474974513,0.8603459596633911,0.5714285969734192,0.5714285969734192,0.4000000059604645,0.5,0.7438021898269653,0.0,0.0
0,0.4000000059604645,0.40726813673973083,0.0010000000474974513,0.9269651174545288,0.3684210479259491,0.3684210479259491,0.5,0.625,0.6803320050239563,0.5,0.5
1,0.4000000059604645,0.451127827167511,0.0010000000474974513,0.9179521799087524,0.4117647111415863,0.3333333432674408,0.44999998807907104,0.4895833134651184,0.6877477169036865,0.5333333611488342,0.6666666865348816
0,0.9516952633857727,0.9897600412368774,0.0010000000474974513,0.12851309776306152,0.9494717717170715,0.953633189201355,0.9933047890663147,0.9996868371963501,0.022044314071536064,0.9926082491874695,0.9941829442977905
1,0.9697664976119995,0.9948850870132446,0.0010000000474974513,0.08465226739645004,0.96849125623703,0.9708357453346252,0.9919657111167908,0.9997344613075256,0.020396938547492027,0.9905063509941101,0.9936507940292358
2,0.9698238968849182,0.9944859743118286,0.0010000000474974513,0.08475638926029205,0.9696829915046692,0.9696829915046692,0.9949116110801697,0.9997673630714417,0.017438510432839394,0.9936237931251526,0.9962706565856934
3,0.9703975915908813,0.9955986142158508,0.0010000000474974513,0.07923662662506104,0.9699447154998779,0.9706153273582458,0.9933047890663147,0.9993936419487,0.02209380641579628,0.9909526109695435,0.9957219362258911
4,0.971143364906311,0.9957208037376404,0.0010000000474974513,0.07826869934797287,0.9700000286102295,0.9721230268478394,0.9949116110801697,0.9998214244842529,0.01602540723979473,0.993172287940979,0.9968371391296387
5,0.9736676216125488,0.9959790110588074,0.0010000000474974513,0.07266339659690857,0.9724359512329102,0.9747869968414307,0.9949116110801697,0.9995738863945007,0.01585203781723976,0.9940347075462341,0.9956545233726501
6,0.9727497100830078,0.9960458874702454,0.0010000000474974513,0.07409044355154037,0.971638560295105,0.9737629294395447,0.9951794147491455,0.9989691376686096,0.019588785246014595,0.9957894682884216,0.9947423934936523
7,0.9703975915908813,0.9948378801345825,0.0010000000474974513,0.08346466720104218,0.9710462689399719,0.969480574131012,0.9946438074111938,0.9995373487472534,0.01787637546658516,0.9914255142211914,0.9978424906730652
8,0.9734381437301636,0.9957677721977234,0.0010000000474974513,0.07400434464216232,0.9724327921867371,0.9743353724479675,0.9935725927352905,0.9997569918632507,0.01892136223614216,0.9916840195655823,0.9958246350288391
9,0.9741839170455933,0.9957845211029053,0.0005000000237487257,0.07465318590402603,0.9729636311531067,0.9752075672149658,0.9935725927352905,0.9994750022888184,0.020456265658140182,0.9904051423072815,0.9967811107635498
